model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,4,4,12,69,0.6922751612510648,0.631578947368421,0.6320318026200379,0.8397665806134365,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,5,12,11,0.25802879291251385,0.35789473684210527,0.30188097440641376,0.586290542340238,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,6,12,32,0.5742792253948441,0.5473684210526316,0.45536712337517166,0.6972490626344582,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,7,12,57,0.469095928226363,0.47368421052631576,0.4720037396093734,0.7567336140307742,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,8,12,64,0.5761475150364039,0.5263157894736842,0.5215482349628692,0.7739490237056161,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,9,12,28,0.48200100553041736,0.5578947368421052,0.5181419457735248,0.6821931792570738,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,10,12,60,0.5568094740508535,0.6421052631578947,0.6001292595719839,0.7971435962054624,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,1,24,19,0.49401709401709404,0.3684210526315789,0.35792114264336483,0.6396041551416806,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,2,24,31,0.49812784127182086,0.5473684210526316,0.5442294461644307,0.7828424201446514,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,3,24,22,0.4196336996336996,0.5157894736842106,0.45854510386530095,0.6306231688077529,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,4,24,72,0.6702177366601253,0.6736842105263158,0.6473063973063973,0.8531211199213228,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,5,24,30,0.5233940462201332,0.3894736842105263,0.3789923526765632,0.6424279304198168,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,6,24,36,0.41677319096673937,0.3684210526315789,0.31516908212560385,0.6658198106828939,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,7,24,48,0.46939360732464186,0.42105263157894735,0.38270655270655274,0.5669140697031164,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,8,24,5,0.4378242353852109,0.5052631578947369,0.39141776444502413,0.5720184092445755,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,9,24,65,0.5349261973027503,0.4842105263157895,0.4807558056821077,0.7353242362775831,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,8,10,24,38,0.4092647740056912,0.5368421052631579,0.5056673757704685,0.5947521359641036,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,1,48,28,0.6274685234890626,0.5684210526315789,0.5536233215439498,0.7441258426045444,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,2,48,33,0.7435022541096267,0.6631578947368421,0.6573862191711162,0.8396637265146394,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,3,48,44,0.5849831710542133,0.6,0.5805530926012854,0.804445981109267,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,4,48,36,0.7214320383637175,0.6526315789473685,0.615225389124722,0.8381321326858853,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,5,48,37,0.4479680526192154,0.49473684210526314,0.3845677451971689,0.691209867437048,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,6,48,26,0.5574252136752137,0.6,0.47287372660506993,0.8049844284631303,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,7,48,42,0.6868107851585429,0.6421052631578947,0.61900290632685,0.8702036080890037,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,8,48,33,0.5933925393290583,0.6947368421052632,0.674584776053638,0.8437008011145942,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,9,48,36,0.5666449981942939,0.5157894736842106,0.5102100813628273,0.820637818345729,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,16,10,48,16,0.4637454981992797,0.5157894736842106,0.5046127434425306,0.6822656073923822,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,1,96,5,0.4844022554865928,0.43157894736842106,0.42090955639342736,0.6500669985862684,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,2,96,30,0.8050264550264551,0.7157894736842105,0.7255417118093175,0.9113054479890179,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,3,96,21,0.5989786578021872,0.4631578947368421,0.454259627732385,0.7655422890159199,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,4,96,30,0.6527910685805423,0.6105263157894737,0.6055997244793127,0.8291821869813756,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,5,96,45,0.7701678166794445,0.7789473684210526,0.7754149133459478,0.8910605548384453,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,6,96,47,0.771030139451192,0.7052631578947368,0.712936394069823,0.8862766611346732,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,7,96,57,0.6844590368980613,0.5789473684210527,0.5768231751704057,0.8337231851988444,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,8,96,3,0.6058233054384785,0.6421052631578947,0.596969696969697,0.7609389022066507,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,9,96,45,0.6659752830351742,0.7263157894736842,0.7085648148148148,0.8829046038478087,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,32,10,96,68,0.7266706479734832,0.7368421052631579,0.7415552198160894,0.9043196160386829,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
